race_num,event,bankroll
0,START,100.0
1,AGP25,94.64
2,CGP25,89.65
3,JGP25,80.1
4,BGP25,45.26
5,SAGP25,48.33
6,MGP25,42.95
7,ERGP25,40.93
8,MCGP25,30.46
9,SGP25,34.94
10,CAGP25,70.29
11,AUGP25,44.66
12,BRGP25,38.75
13,BELGP25,36.16
14,HUNGP25,25.56
15,DUTGP25,57.31
16,ITAGP25,43.8
17,AZEGP25,39.12
18,SINGP25,33.12
19,UNISGP25,27.7
20,GRAPDM25,17.71
22,LASVGP25,14.96
23,QATGP25,19.55
24,ABUDGP25,13.76
