event,event_name,market,driver,grid_pos,direction,entry_price,base_rate,edge,kelly,position_pct,stake,contracts,outcome,finish_pos,event_happened,gross_pnl,net_pnl,bankroll_after
MGP25,Miami Grand Prix,RACE,NOR,2,BUY_NO,0.6327,0.2364,0.1309,0.3564,0.0891,4.08,6.45,WIN,2,False,2.36,2.2,48.02
MGP25,Miami Grand Prix,RACEPODIUM,VER,1,BUY_NO,0.2127,0.6481,0.1392,0.1768,0.0442,2.12,9.98,WIN,4,False,7.82,7.31,55.33
MGP25,Miami Grand Prix,RACEPODIUM,SAI,6,BUY_YES,0.0344,0.2358,0.2014,0.2086,0.0521,2.88,83.86,LOSS,9,False,-2.88,-2.88,52.44
MGP25,Miami Grand Prix,RACEPODIUM,PIA,4,BUY_NO,0.3175,0.3704,0.3121,0.4573,0.1143,6.0,18.88,LOSS,1,True,-6.0,-6.0,46.45
MGP25,Miami Grand Prix,RACEPODIUM,NOR,2,BUY_NO,0.2198,0.5455,0.2347,0.3008,0.0752,3.49,15.89,LOSS,2,True,-3.49,-3.49,42.95
ERGP25,Emilia Romagna Grand Prix,RACE,PIA,1,BUY_NO,0.3718,0.25,0.3782,0.602,0.15,6.44,17.33,WIN,3,False,10.83,10.12,53.08
ERGP25,Emilia Romagna Grand Prix,RACEPODIUM,ALO,5,BUY_YES,0.0486,0.2037,0.1551,0.163,0.0408,2.16,44.51,LOSS,11,False,-2.16,-2.16,50.91
ERGP25,Emilia Romagna Grand Prix,RACEPODIUM,VER,2,BUY_NO,0.2123,0.5455,0.2422,0.3075,0.0769,3.91,18.43,LOSS,1,True,-3.91,-3.91,47.0
ERGP25,Emilia Romagna Grand Prix,RACEPODIUM,RUS,3,BUY_NO,0.506,0.4057,0.0883,0.1787,0.0447,2.1,4.15,WIN,7,False,2.04,1.91,48.91
ERGP25,Emilia Romagna Grand Prix,RACEPODIUM,PIA,1,BUY_NO,0.1338,0.6481,0.2181,0.2518,0.0629,3.08,23.01,LOSS,3,True,-3.08,-3.08,45.83
ERGP25,Emilia Romagna Grand Prix,RACEPODIUM,NOR,4,BUY_NO,0.3527,0.3704,0.2769,0.4278,0.1069,4.9,13.9,LOSS,2,True,-4.9,-4.9,40.93
MCGP25,Monaco Grand Prix,RACE,NOR,1,BUY_NO,0.459,0.25,0.291,0.5379,0.1345,5.5,11.99,LOSS,1,True,-5.5,-5.5,35.42
MCGP25,Monaco Grand Prix,RACEPODIUM,HAM,4,BUY_YES,0.2356,0.3704,0.1348,0.1763,0.0441,1.56,6.63,LOSS,5,False,-1.56,-1.56,33.86
MCGP25,Monaco Grand Prix,RACEPODIUM,VER,5,BUY_NO,0.5231,0.2037,0.2732,0.5729,0.1432,4.85,9.27,WIN,4,False,4.4,4.11,37.97
MCGP25,Monaco Grand Prix,RACEPODIUM,PIA,3,BUY_NO,0.2586,0.4057,0.3357,0.4528,0.1132,4.3,16.62,LOSS,3,True,-4.3,-4.3,33.67
MCGP25,Monaco Grand Prix,RACEPODIUM,NOR,1,BUY_NO,0.2189,0.6481,0.133,0.1703,0.0426,1.43,6.55,LOSS,1,True,-1.43,-1.43,32.24
MCGP25,Monaco Grand Prix,RACEPODIUM,LEC,2,BUY_NO,0.2995,0.5455,0.155,0.2213,0.0553,1.78,5.95,LOSS,2,True,-1.78,-1.78,30.46
SGP25,Spanish Grand Prix,RACE,PIA,1,BUY_NO,0.4058,0.25,0.3442,0.5793,0.1448,4.41,10.87,LOSS,1,True,-4.41,-4.41,26.05
SGP25,Spanish Grand Prix,RACEPODIUM,VER,3,BUY_NO,0.2407,0.4057,0.3536,0.4657,0.1164,3.03,12.6,WIN,10,False,9.52,8.9,34.94
CAGP25,Canadian Grand Prix,RACE,VER,2,BUY_NO,0.5978,0.2364,0.1658,0.4122,0.1031,3.6,6.02,WIN,2,False,2.41,2.25,37.2
CAGP25,Canadian Grand Prix,RACE,PIA,3,BUY_NO,0.6332,0.1132,0.2536,0.6914,0.15,5.58,8.81,WIN,4,False,3.22,3.01,40.2
CAGP25,Canadian Grand Prix,RACEPODIUM,ANT,4,BUY_YES,0.1484,0.3704,0.222,0.2607,0.0652,2.62,17.66,WIN,3,True,14.96,13.98,54.19
CAGP25,Canadian Grand Prix,RACEPODIUM,ALO,6,BUY_YES,0.0598,0.2358,0.176,0.1872,0.0468,2.54,42.4,LOSS,7,False,-2.54,-2.54,51.65
CAGP25,Canadian Grand Prix,RACEPODIUM,VER,2,BUY_NO,0.2723,0.5455,0.1822,0.2504,0.0626,3.23,11.87,LOSS,2,True,-3.23,-3.23,48.42
