round,event_code,race_name,market_type,driver,grid_pos,finish_pos,outcome,yes_vwap,no_vwap,volume,n_trades,qual_end_utc,race_start_utc
4,BGP25,Bahrain,RACEPODIUM,HAM,9,5,0,0.0644,0.9356,182.0,5,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00
4,BGP25,Bahrain,RACEPODIUM,NOR,6,3,1,0.5893,0.4107,901.0,9,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00
4,BGP25,Bahrain,RACEPODIUM,LEC,3,4,0,0.4137,0.5863,575.0,20,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00
5,SAGP25,Saudi Arabia,RACE,BOR,20,18,0,0.01,0.99,408.0,3,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACE,ALO,13,11,0,0.01,0.99,1466.0,4,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACE,NOR,10,4,0,0.0591,0.9409,4619.0,82,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACE,OCO,19,14,0,0.01,0.99,293.0,3,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACE,PIA,2,1,1,0.4782,0.5218,9458.0,186,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACE,SAI,6,8,0,0.01,0.99,279.0,3,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACE,STR,16,16,0,0.01,0.99,286.0,3,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACE,RUS,3,5,0,0.0629,0.9371,3171.0,84,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACE,ANT,5,6,0,0.0141,0.9859,1127.0,4,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACE,LEC,4,3,0,0.0208,0.9792,3255.0,47,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
