event,round,race_name,driver,market,vwap_yes,vwap_no,n_trades,volume,price_min,price_max,price_std,grid_pos,gap_to_pole,team,finish_pos,status,is_fastest_lap,outcome,base_win,base_pod,base_rate,edge_yes,edge_no,teammate_grid_delta,is_street,high_overtaking,low_overtaking
ABUDGP25,24,Abu Dhabi Grand Prix,OCO,winner,1.0,99.0,2,109,1.0,1.0,0.0,8,0.7060000000000031,Haas F1 Team,7,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,-3.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,PIA,podium,0.7297,0.2703,147,21921,0.68,0.78,0.0192,3,0.23000000000000398,McLaren,2,Finished,0.0,1,0.21739130434782608,0.6956521739130435,0.6956521739130435,-0.034047826086956556,0.034047826086956556,1.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,PIA,winner,0.0906,0.9094,327,69002,0.05,0.1,0.0091,3,0.23000000000000398,McLaren,2,Finished,0.0,0,0.21739130434782608,0.6956521739130435,0.21739130434782608,0.1267913043478261,-0.12679130434782604,1.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,RUS,podium,0.3937,0.6063,236,17839,0.32,0.59,0.034,4,0.4380000000000024,Mercedes,5,Finished,0.0,0,0.0,0.391304347826087,0.391304347826087,-0.002395652173913021,0.002395652173913132,-10.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,RUS,winner,0.0227,1.1902,96,29762,0.02,1.0,0.1713,4,0.4380000000000024,Mercedes,5,Finished,0.0,0,0.0,0.391304347826087,0.0,-0.0227,-0.19019999999999992,-10.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,SAI,podium,0.0212,1.1023,35,10418,0.02,1.0,0.1657,12,0.835000000000008,Williams,13,Finished,0.0,0,0.0,0.0,0.0,-0.0212,-0.10230000000000006,-5.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,SAI,winner,1.0,99.0,8,1459,1.0,1.0,0.0,12,0.835000000000008,Williams,13,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,-5.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,STR,podium,1.0,99.0,4,143,1.0,1.0,0.0,15,0.8900000000000006,Aston Martin,10,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,9.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,STR,winner,1.0,99.0,2,15,1.0,1.0,0.0,15,0.8900000000000006,Aston Martin,10,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,9.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,TSU,podium,0.02,0.98,2,233,0.02,0.02,0.0,10,0.8270000000000124,Red Bull Racing,14,Finished,0.0,0,0.0,0.0,0.0,-0.02,0.020000000000000018,9.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,TSU,winner,1.0,99.0,2,60,1.0,1.0,0.0,10,0.8270000000000124,Red Bull Racing,14,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,9.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,VER,podium,0.8945,0.1055,144,10569,0.86,0.93,0.0191,1,0.0,Red Bull Racing,1,Finished,0.0,1,0.43478260869565216,0.9130434782608695,0.9130434782608695,0.01854347826086955,-0.01854347826086951,-9.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,VER,winner,0.7166,0.2834,1271,181400,0.68,0.75,0.0121,1,0.0,Red Bull Racing,1,Finished,0.0,1,0.43478260869565216,0.9130434782608695,0.43478260869565216,-0.28181739130434785,0.2818173913043479,-9.0,0,0,0
