round,driver,grid,yes_price,no_price,won_race,pnl,bankroll
1,NOR,1,0.5383017414085375,0.4616982585914625,1,-4.695471289875174,95.30452871012483
1,PIA,2,0.2136038394415358,0.7863961605584642,0,0.6007053141361258,95.90523402426095
1,VER,3,0.27983522142121525,0.7201647785787848,0,0.5351848403707518,96.4404188646317
2,PIA,1,0.5801773425092642,0.4198226574907358,0,6.303443930651139,102.74386279528284
2,RUS,2,0.0736637589214909,0.9263362410785091,0,0.17374812846946885,102.9176109237523
2,NOR,3,0.3852566861358746,0.6147433138641254,0,1.1244181494005534,104.04202907315286
3,VER,1,0.5129433109680953,0.4870566890319047,0,5.046633472545529,109.08866254569838
3,NOR,2,0.3311335495283019,0.6688664504716981,0,1.279051279481132,110.36771382517952
3,PIA,3,0.24715698393077876,0.7528430160692212,0,0.46871730531520406,110.83643113049473
4,PIA,1,0.8648266908996495,0.13517330910035052,1,-5.4988502142022595,105.33758091629247
4,RUS,2,0.6088942891859053,0.39110571081409473,0,4.8179639368165255,110.15554485310899
4,LEC,3,0.06397766056469129,0.9360223394353087,0,0.09613056158858219,110.25167541469757
5,VER,1,0.4265745535375988,0.5734254464624011,0,3.751436888529642,114.00311230322721
5,PIA,2,0.7779746835443039,0.22202531645569612,0,11.613003797468355,125.61611610069556
5,RUS,3,0.30672984909827017,0.6932701509017298,0,0.8848327695988223,126.50094887029438
6,VER,1,0.3021888734674994,0.6978111265325007,0,2.6129347588480214,129.1138836291424
6,PIA,2,0.6747777885642171,0.3252222114357829,0,7.361739120667896,136.4756227498103
6,NOR,3,0.3031731132886367,0.6968268867113633,1,-2.1260188313563693,134.34960391845394
7,PIA,1,0.3939530606883264,0.6060469393116736,0,4.220152889920307,138.56975680837425
7,VER,2,0.7275958819691147,0.27240411803088527,1,-4.155524820561155,134.41423198781308
7,RUS,3,0.22911261872455901,0.770887381275441,0,0.6480225997286296,135.0622545875417
8,NOR,1,0.7965159867695699,0.20348401323043008,1,-6.829126968026464,128.23312761951524
8,LEC,2,0.2652484262589928,0.7347515737410072,0,1.2637882475269784,129.49691586704222
8,PIA,3,0.11700252056248345,0.8829974794375166,0,0.20398312682409123,129.7008989938663
9,PIA,1,0.7792070876769764,0.22079291232302356,1,-6.511845363142934,123.18905363072336
9,NOR,2,0.1713825247817239,0.8286174752182761,0,0.6291841108120528,123.81823774153541
9,RUS,3,0.048211792086889055,0.9517882079131109,0,0.0640627851047324,123.88230052664015
10,RUS,1,0.7608191353907718,0.23918086460922816,1,-6.081173482689626,117.80112704395053
10,VER,2,0.28480540188740644,0.7151945981125936,0,1.0905883748779694,118.8917154188285
10,PIA,3,0.2910001243935813,0.7089998756064186,0,0.836841379524817,119.72855679835331
11,NOR,1,0.8326612827200452,0.16733871727995475,0,29.04357835842001,148.77213515677332
11,LEC,2,0.23244677312042586,0.7675532268795742,0,1.0969918413173654,149.86912699809068
11,PIA,3,0.2380579888325393,0.7619420111674606,1,-2.324685076071922,147.54444192201876
12,VER,1,0.27981720764093804,0.720182792359062,0,2.6757410017083387,150.2201829237271
12,PIA,2,0.285053478422619,0.7149465215773809,1,-4.362603674665179,145.85757924906193
12,NOR,3,0.5795983853135525,0.42040161468644754,0,3.434709347183297,149.2922885962452
13,NOR,1,0.36765870854737337,0.6323412914526266,0,3.9259979725194656,153.21828656876468
13,PIA,2,0.7255824636404485,0.27441753635955146,0,11.53467784835738,164.75296441712206
13,LEC,3,0.5069210242002139,0.4930789757997861,0,2.991232089669705,167.74419650679175
14,NOR,1,0.4656204541129159,0.5343795458870841,0,6.848040027492532,174.5922365342843
14,PIA,2,0.45842150323595043,0.5415784967640496,0,4.042932019118654,178.63516855340296
14,STR,3,0.0196158940397351,0.9803841059602649,0,0.008848092715231695,178.6440166461182
15,PIA,1,0.8351756431044305,0.1648243568955695,1,-9.051824031990886,169.5921926141273
15,NOR,2,0.5144673891315279,0.4855326108684721,0,5.062133347467638,174.65432596159494
15,VER,3,0.37880677192254275,0.6211932280774572,0,1.8412324352261298,176.49555839682105
16,VER,1,0.656124421457202,0.34387557854279804,0,16.25696341554936,192.75252181237042
16,NOR,2,0.37139682827015946,0.6286031717298406,1,-5.753604830843232,186.99891698152717
16,PIA,3,0.3629438594898793,0.6370561405101207,0,1.760569525506036,188.75948650703322
17,VER,1,0.7265066445323417,0.2734933554676583,1,-9.456853245360689,179.30263326167253
17,NOR,2,0.3265696150358585,0.6734303849641414,0,2.205849089440277,181.5084823511128
17,PIA,3,0.2522958499763049,0.7477041500236952,0,0.958339517703608,182.46682186881642
18,RUS,1,0.7167691299680761,0.28323087003192393,0,22.78253456568107,205.24935643449749
18,VER,2,0.39808297034776735,0.6019170296522327,0,3.878503808436793,209.12786024293428
18,PIA,3,0.2831676641168932,0.7168323358831068,0,1.354907572034402,210.48276781496867
19,VER,1,0.7363385971355123,0.2636614028644877,0,28.542397778185823,239.0251655931545
19,NOR,2,0.44605692290879956,0.5539430770912004,0,5.239678687178991,244.26484428033348
19,LEC,3,0.1910987002437043,0.8089012997562957,0,1.0640842688870844,245.32892854922056
20,NOR,1,0.7868728975203745,0.21312710247962552,0,44.64523499635859,289.97416354557913
20,LEC,2,0.2985926913651434,0.7014073086348567,0,3.44002520542021,293.41418875099936
20,HAM,3,0.1501132776565234,0.8498867223434766,0,0.8139912202601058,294.22817997125946
21,NOR,1,0.8325872757795667,0.1674127242204333,0,72.18748957370029,366.41566954495977
21,ANT,2,0.3571324390166735,0.6428675609833265,0,5.8854627381592675,372.30113228311905
21,BEA,3,0.020943030973451328,0.9790569690265487,0,0.03009343749999975,372.33122572061905
22,NOR,1,0.34413704134174555,0.6558629586582545,0,9.323646389247543,381.6548721098666
22,VER,2,0.754720475885852,0.245279524114148,1,-11.474666697108072,370.1802054127585
22,SAI,3,0.061936162411470694,0.9380638375885293,0,0.32192354020726044,370.50212895296573
23,PIA,1,0.37465352318105866,0.6253464768189414,1,-18.443343640821038,352.0587853121447
23,NOR,2,0.2081184566548605,0.7918815433451395,0,2.530534115433911,354.58931942757863
23,VER,3,0.6503370090103425,0.3496629909896575,0,12.887854763270367,367.477174190849
24,VER,1,0.826719375545894,0.17328062445410597,0,87.32000212259847,454.79717631344744
24,NOR,2,0.25522562114412667,0.7447743788558734,0,4.366160220664382,459.1633365341118
24,PIA,3,0.2187683966832818,0.7812316033167181,0,2.260362053695874,461.4236985878077
