round,event,driver,grid,market,pre_q_price,post_q_price,vwap,outcome,n_trades,volume
17,Azerbaijan Grand Prix,VER,1,winner,0.4289951796890773,0.7278360788573104,0.5269952876458299,1,2066,353751
18,Singapore Grand Prix,ALB,12,winner,0.025677018633540372,0.010835016835016835,0.02055432887855898,0,56,8605
18,Singapore Grand Prix,ALO,10,winner,0.07144395705119812,0.025468306527909178,0.07066207584509196,0,175,62153
18,Singapore Grand Prix,ANT,4,winner,0.05077721815923831,0.11157827299449792,0.08595717463040223,0,302,68791
18,Singapore Grand Prix,BEA,9,winner,0.013785310734463275,0.026,0.01785175879396985,0,13,1592
18,Singapore Grand Prix,BOR,16,winner,0.024838905775075987,0.010000000000000002,0.02162380952380952,0,22,2100
18,Singapore Grand Prix,COL,18,winner,0.015725714285714284,0.01,0.01446524064171123,0,8,1122
18,Singapore Grand Prix,GAS,20,winner,0.010717821782178215,0.014673366834170854,0.012023217247097845,0,9,603
18,Singapore Grand Prix,HAD,8,winner,0.049883932317158444,0.0366523473458116,0.04574159462055716,0,100,10410
18,Singapore Grand Prix,HAM,6,winner,0.08018023450586265,0.02639609120521173,0.06917974683544303,1,506,112575
18,Singapore Grand Prix,HUL,11,winner,0.019086206896551723,0.01246031746031746,0.017079326923076926,0,22,1664
18,Singapore Grand Prix,LAW,14,winner,0.014878836833602586,0.01,0.013397075365579303,0,11,889
18,Singapore Grand Prix,LEC,7,winner,0.19004444740760496,0.044674841143764896,0.1450908030272793,0,391,65141
18,Singapore Grand Prix,NOR,5,winner,0.43072938991284465,0.20597926267281105,0.31353660561660557,0,1747,204750
18,Singapore Grand Prix,OCO,19,winner,0.020526810912511757,0.01,0.018535469107551487,0,18,1311
18,Singapore Grand Prix,PIA,3,winner,0.4502600680247495,0.28228442958895383,0.3821514351326496,0,1767,185941
18,Singapore Grand Prix,RUS,1,winner,0.23747039988085486,0.7167691299680761,0.5861993488249434,0,1703,197182
18,Singapore Grand Prix,SAI,13,winner,0.03220522837787291,0.013555555555555555,0.03186283709354983,0,106,24511
18,Singapore Grand Prix,STR,17,winner,0.01975609756097561,0.01,0.0178064012490242,0,15,1281
18,Singapore Grand Prix,TSU,15,winner,0.023543457497612223,0.013453237410071943,0.020669398907103825,0,29,1464
18,Singapore Grand Prix,VER,2,winner,0.43519221187681,0.3978346289752651,0.41829126470199557,0,4501,469154
19,United States Grand Prix,ALB,15,winner,0.02497443609022557,0.01,0.020696025778732554,0,44,4655
19,United States Grand Prix,ALO,10,winner,0.026059148405487263,0.01543057996485061,0.02508087997411841,0,52,6182
19,United States Grand Prix,ANT,6,winner,0.036762034879048465,0.030518793607922576,0.033089856031772294,1,113,30215
19,United States Grand Prix,BEA,9,winner,0.010574075442875797,0.01262922262922263,0.010796026460956903,0,34,45501
19,United States Grand Prix,BOR,18,winner,0.01,0.01,0.01,0,11,726
19,United States Grand Prix,COL,17,winner,0.014126984126984127,0.01,0.01300578034682081,0,13,692
19,United States Grand Prix,GAS,14,winner,0.010335400872961177,0.009999999999999998,0.01029153354632588,0,14,5008
19,United States Grand Prix,HAD,99,winner,0.03240060501296456,0.010317460317460319,0.03153414988582105,0,50,4817
19,United States Grand Prix,HAM,5,winner,0.10949007056645975,0.08941067490074989,0.10531826235718213,0,676,163670
19,United States Grand Prix,HUL,11,winner,0.0335307388606881,0.015966296163499462,0.03149511739040099,0,106,24065
19,United States Grand Prix,LAW,12,winner,0.02069642857142857,0.010064102564102562,0.01585603112840467,0,15,2056
19,United States Grand Prix,LEC,3,winner,0.17199125847262298,0.19156315279971467,0.17984482494249937,0,1066,195650
19,United States Grand Prix,NOR,2,winner,0.44259134211263657,0.44606893112967766,0.4444529220673537,0,1486,153607
19,United States Grand Prix,OCO,19,winner,0.011879350348027843,0.01,0.011310679611650486,0,11,1236
19,United States Grand Prix,PIA,7,winner,0.3351887638014755,0.1471845223299362,0.2857676279258872,0,1460,275472
19,United States Grand Prix,RUS,4,winner,0.1865891916877688,0.2609863706617957,0.20618507635028607,0,965,135101
19,United States Grand Prix,SAI,8,winner,0.03392125494378528,0.021163405088062623,0.02993674174128289,0,168,32723
19,United States Grand Prix,STR,16,winner,0.012281786941580757,0.009999999999999998,0.011574205784732101,0,11,2109
19,United States Grand Prix,TSU,13,winner,0.01688330871491876,0.032270203578038247,0.022644952644952646,0,34,4329
19,United States Grand Prix,VER,1,winner,0.4806038330065755,0.7363385971355123,0.6018930731779286,0,3909,488016
20,Mexico City Grand Prix,ALB,17,winner,0.021704297159504733,0.01010344827586207,0.019681298857486474,0,21,1663
20,Mexico City Grand Prix,ALO,15,winner,0.013062654575432812,0.01005524861878453,0.012512630515325024,0,33,2969
20,Mexico City Grand Prix,ANT,6,winner,0.03586232226244819,0.07640815583469869,0.04493361029651352,0,189,24552
20,Mexico City Grand Prix,BEA,10,winner,0.03626588465298143,0.31228945560051924,0.3070026773511074,0,485,53411
20,Mexico City Grand Prix,BOR,16,winner,0.021333333333333333,0.010077120822622108,0.014372019077901432,0,8,629
20,Mexico City Grand Prix,COL,20,winner,0.03347417840375587,0.01,0.024605647517039923,0,6,1027
20,Mexico City Grand Prix,GAS,18,winner,0.010431372549019609,0.01,0.010345911949685534,0,7,954
20,Mexico City Grand Prix,HAD,9,winner,0.07137879355563882,0.012366666666666668,0.06054756806362802,0,40,3269
20,Mexico City Grand Prix,HAM,3,winner,0.11342407590146569,0.1501132776565234,0.12568469782637523,0,1161,165898
20,Mexico City Grand Prix,HUL,14,winner,0.0221875,0.013734177215189873,0.017879032258064517,0,15,1240
20,Mexico City Grand Prix,LAW,13,winner,0.013452115812917597,0.010025706940874037,0.011861575178997613,0,10,838
20,Mexico City Grand Prix,LEC,2,winner,0.18951729843561974,0.2989743867830739,0.23923277751779518,0,1463,121803
20,Mexico City Grand Prix,NOR,1,winner,0.572703975225937,0.7870064176471405,0.686743777766279,0,2527,270562
20,Mexico City Grand Prix,OCO,12,winner,0.029865470852017937,0.010077120822622108,0.017287581699346407,0,9,612
20,Mexico City Grand Prix,PIA,8,winner,0.23025404024456758,0.08409617070148398,0.17358912616808742,0,1464,170685
20,Mexico City Grand Prix,RUS,4,winner,0.13053196060569602,0.1520917884554726,0.1412075802407004,1,738,115247
20,Mexico City Grand Prix,SAI,7,winner,0.09598038834195885,0.01945359102839418,0.08525025092004014,0,172,29890
20,Mexico City Grand Prix,STR,19,winner,0.01,0.010077120822622108,0.010029069767441862,0,9,1032
20,Mexico City Grand Prix,TSU,11,winner,0.017964426877470355,0.014914809960681522,0.017351934719663068,0,18,3799
20,Mexico City Grand Prix,VER,5,winner,0.4121033381982684,0.28665763791531124,0.3543054148885133,0,5563,637834
21,São Paulo Grand Prix,ALB,14,winner,0.014251156172180717,0.011401869158878504,0.013874652670577336,1,18,3239
21,São Paulo Grand Prix,ALO,11,winner,0.02223437911943053,0.010273483947681333,0.017456459784673844,0,42,12632
21,São Paulo Grand Prix,ANT,2,winner,0.22165640049277635,0.36172432205035276,0.29129654806245825,0,880,124307
21,São Paulo Grand Prix,BEA,3,winner,0.032281970176231356,0.020436128306133932,0.030883759548322814,0,138,30110
21,São Paulo Grand Prix,BOR,99,winner,0.01989956958393113,,0.01989956958393113,0,11,2091
21,São Paulo Grand Prix,COL,18,winner,0.023777777777777773,,0.023777777777777773,0,2,45
21,São Paulo Grand Prix,GAS,6,winner,0.024876118375774258,0.03833333333333333,0.02914473684210527,0,31,4256
21,São Paulo Grand Prix,HAD,8,winner,0.05147332768839966,0.05841467676179383,0.05691696355165799,0,81,10947
21,São Paulo Grand Prix,HAM,12,winner,0.08505215856202857,0.023675048355899425,0.06622362321527905,0,181,26965
21,São Paulo Grand Prix,HUL,10,winner,0.017440656020716445,0.010679578661230038,0.012589296598805316,0,20,8203
21,São Paulo Grand Prix,LAW,9,winner,0.0369281045751634,0.052095080154781655,0.049900709219858154,0,9,2115
21,São Paulo Grand Prix,LEC,4,winner,0.12410406395365031,0.16820920342402265,0.14639392144165989,0,506,72583
21,São Paulo Grand Prix,NOR,1,winner,0.5601203688756154,0.8326021946060285,0.7497691637630661,0,2028,326032
21,São Paulo Grand Prix,OCO,17,winner,0.012727272727272726,,0.012727272727272726,0,2,110
21,São Paulo Grand Prix,PIA,5,winner,0.3040171672753472,0.2813280681271891,0.2932421872452008,0,1379,153307
21,São Paulo Grand Prix,RUS,7,winner,0.08945942287910778,0.1266032542550602,0.11141584300877709,0,594,90349
21,São Paulo Grand Prix,SAI,15,winner,0.024794007490636705,0.03,0.024951573849878932,0,23,3304
21,São Paulo Grand Prix,STR,13,winner,0.028828382838283827,0.03875,0.0290210355987055,0,21,1236
21,São Paulo Grand Prix,TSU,19,winner,0.029027777777777777,0.01,0.02787345075016308,0,6,1533
21,São Paulo Grand Prix,VER,16,winner,0.26028905610183745,0.2872269199776647,0.2770380818933258,0,3406,481016
22,Las Vegas Grand Prix,ALB,16,winner,0.0281619233535395,0.011266679944234219,0.024697594642054968,0,111,24487
22,Las Vegas Grand Prix,ALO,7,winner,0.01792778288868445,0.028408246029063874,0.023221988277471125,0,91,17573
22,Las Vegas Grand Prix,ANT,17,winner,0.08306673559313689,0.178903117319881,0.10434933310353411,0,709,104439
22,Las Vegas Grand Prix,BEA,14,winner,0.023166643769748595,0.010169491525423728,0.02035864297253635,0,84,9285
22,Las Vegas Grand Prix,BOR,18,winner,0.020196078431372548,0.010017391304347827,0.0135527809307605,0,12,1762
22,Las Vegas Grand Prix,COL,15,winner,0.014252873563218391,0.010019841269841267,0.011870463428252372,0,14,1791
22,Las Vegas Grand Prix,GAS,10,winner,0.020806111696522654,0.010275880906856051,0.012443600867678959,0,35,9220
22,Las Vegas Grand Prix,HAD,8,winner,0.030590735231619204,0.023351153132455598,0.024597293343087058,0,107,27340
22,Las Vegas Grand Prix,HAM,20,winner,0.05290322580645161,0.020386546184738955,0.03845849748950865,0,748,147979
22,Las Vegas Grand Prix,HUL,11,winner,0.016762305218896864,0.026230718523401447,0.022938596491228067,0,69,11628
22,Las Vegas Grand Prix,LAW,6,winner,0.02307775611869179,0.018495809971664553,0.01949349179400113,0,71,21204
22,Las Vegas Grand Prix,LEC,9,winner,0.1087858140318775,0.061095743019280495,0.08587092658683834,0,1203,239848
22,Las Vegas Grand Prix,NOR,1,winner,0.39235439403666456,0.34413704134174555,0.3601767650177596,0,5405,674285
22,Las Vegas Grand Prix,OCO,13,winner,0.010849636668529904,0.010030737704918032,0.010560578661844485,0,20,2765
22,Las Vegas Grand Prix,PIA,5,winner,0.2544441903716577,0.07517004380890221,0.16358331077897734,0,2026,399036
22,Las Vegas Grand Prix,RUS,4,winner,0.22021063277231184,0.18736333076261713,0.1995660099493257,0,2913,431185
22,Las Vegas Grand Prix,SAI,3,winner,0.08491477090968916,0.06152056887559392,0.0711967534136789,0,902,264524
22,Las Vegas Grand Prix,STR,12,winner,0.0121227745889678,0.012998084291187739,0.012270558745047302,0,39,12367
22,Las Vegas Grand Prix,TSU,19,winner,0.011745501528377401,0.014384105960264902,0.011776521698509835,0,82,64221
22,Las Vegas Grand Prix,VER,2,winner,0.41325900255634357,0.7549314148628113,0.6339219618839408,1,6636,841640
23,Qatar Grand Prix,ALB,15,winner,0.01466871322588897,0.01,0.01166681888756964,0,50,10949
23,Qatar Grand Prix,ALO,7,winner,0.027179219695389112,0.014678238780694327,0.018287056556044085,0,107,16603
23,Qatar Grand Prix,ANT,5,winner,0.08057758518342634,0.1045444371910846,0.09158032751792787,0,664,93430
23,Qatar Grand Prix,BEA,13,winner,0.017629310344827585,0.010053475935828877,0.016358744394618836,0,12,1115
23,Qatar Grand Prix,BOR,14,winner,0.029251583189407026,0.01,0.026583188693280434,0,19,4033
23,Qatar Grand Prix,COL,20,winner,0.012681728880157173,0.01,0.011752246469833121,0,18,1558
23,Qatar Grand Prix,GAS,9,winner,0.010295819935691319,0.015,0.01094287298946201,0,14,1803
23,Qatar Grand Prix,HAD,6,winner,0.0321152030217186,0.03370300751879699,0.0323429495820976,0,56,7418
23,Qatar Grand Prix,HAM,18,winner,0.039606171932402644,0.01,0.03806184274670938,0,171,28718
23,Qatar Grand Prix,HUL,11,winner,0.014806338028169014,0.01,0.011866028708133972,0,36,4389
23,Qatar Grand Prix,LAW,12,winner,0.010308310991957104,0.010000000000000002,0.010205540661304736,0,15,1119
23,Qatar Grand Prix,LEC,10,winner,0.07748204309656824,0.03122353785432365,0.07183621633457413,0,234,22835
23,Qatar Grand Prix,NOR,2,winner,0.4035134376686455,0.20811443510703306,0.2664583796605144,0,2875,310293
23,Qatar Grand Prix,OCO,17,winner,0.01035276073619632,0.01,0.01009163346613546,0,17,2510
23,Qatar Grand Prix,PIA,1,winner,0.46478551106793425,0.37465352318105866,0.4051023484347675,1,4027,426582
23,Qatar Grand Prix,RUS,4,winner,0.20799607479825438,0.10773697694278395,0.16673186862057338,0,1050,139413
23,Qatar Grand Prix,SAI,8,winner,0.046999389499389504,0.5607539516016227,0.48117100503581817,0,463,42297
23,Qatar Grand Prix,STR,19,winner,0.015327868852459018,0.01,0.013470368392952483,0,25,1873
23,Qatar Grand Prix,TSU,16,winner,0.0223682361208714,0.011492537313432836,0.021650804069576632,0,32,3047
23,Qatar Grand Prix,VER,3,winner,0.35352228254459545,0.6503370090103425,0.5490955072822429,0,5894,820283
24,Abu Dhabi Grand Prix,ALB,17,winner,0.014944042132982222,0.01,0.011267724510465902,0,30,5924
24,Abu Dhabi Grand Prix,ALO,6,winner,0.0218411432369558,0.023417938931297712,0.02306620209059233,0,76,13489
24,Abu Dhabi Grand Prix,ANT,8,winner,0.08609808360960622,0.020412738319715067,0.0678065927654609,0,207,34280
24,Abu Dhabi Grand Prix,BEA,12,winner,0.025990948519705823,0.01,0.024448798773215194,0,46,5869
24,Abu Dhabi Grand Prix,BOR,7,winner,0.029999999999999995,0.02993316004455997,0.029938482570061514,0,16,2926
24,Abu Dhabi Grand Prix,COL,20,winner,0.013693843594009984,0.01,0.013663366336633663,0,5,1818
24,Abu Dhabi Grand Prix,GAS,19,winner,0.013383297644539613,0.01,0.013357416064598383,0,6,2353
24,Abu Dhabi Grand Prix,HAD,10,winner,0.03392680801626488,0.019850202429149796,0.025631635452701893,0,48,8383
24,Abu Dhabi Grand Prix,HAM,16,winner,0.04003335513407455,0.013555634807417977,0.032928031390563696,0,112,20898
24,Abu Dhabi Grand Prix,HUL,18,winner,0.027091075236064573,0.009999999999999998,0.0176537989360251,0,24,7331
24,Abu Dhabi Grand Prix,LAW,14,winner,0.014325883201153569,0.01,0.014013377926421404,0,6,1495
24,Abu Dhabi Grand Prix,LEC,5,winner,0.06669577314705186,0.10430763558473935,0.09030427260003746,1,519,90741
24,Abu Dhabi Grand Prix,NOR,2,winner,0.4229372335077364,0.25521104183640936,0.30927362969097905,0,2426,333246
24,Abu Dhabi Grand Prix,OCO,9,winner,0.014807436918990705,0.01442857142857143,0.014775212636695019,0,9,1646
24,Abu Dhabi Grand Prix,PIA,3,winner,0.315312011336982,0.21876151018333548,0.2502417408206999,0,1843,251054
24,Abu Dhabi Grand Prix,RUS,4,winner,0.1819739809670499,0.1097319612301065,0.1433443814545129,0,646,78143
24,Abu Dhabi Grand Prix,SAI,13,winner,0.04948268644219843,0.01636190476190476,0.03795640645714731,0,149,25646
24,Abu Dhabi Grand Prix,STR,15,winner,0.017515060240963855,0.01,0.01723712835387962,0,22,2758
24,Abu Dhabi Grand Prix,TSU,11,winner,0.03168141592920354,0.02266813671444322,0.029272030651340993,0,27,3393
24,Abu Dhabi Grand Prix,VER,1,winner,0.501643695819768,0.826719375545894,0.7066832690944986,0,3952,488282
