event,event_name,driver,qual_pos,finish_pos,fp1_pos,fp2_pos,fp3_pos,won,podium,pole,avg_race_pos,avg_qual_pos,win_rate,podium_rate,pole_rate,n_races,track_type_street,track_speed_high,track_overtaking_high,race_price_early,race_price_late,race_price_all,race_n_trades,pod_price_early,pod_price_late,pod_price_all,pod_n_trades,pole_price_early,pole_price_late,pole_n_trades
CGP25,Chinese Grand Prix,LEC,6.0,13.0,2.0,,,0,0,0,5.7,3.7,0.079646017699115,0.2300884955752212,0.1946902654867256,113,0,0,0,0.04,0.05285714285714285,0.0693103448275862,29,,,,0,,,0
CGP25,Chinese Grand Prix,NOR,3.0,2.0,1.0,,,0,1,0,5.3,4.3,0.0619469026548672,0.1504424778761062,0.0353982300884955,113,0,0,0,0.3374074074074074,0.4424074074074074,0.38440366972477064,218,,,,0,,,0
CGP25,Chinese Grand Prix,OCO,11.0,5.0,13.0,,,0,0,0,15.7,14.8,0.0,0.0,0.0,92,0,0,0,,,,0,,,,0,,,0
CGP25,Chinese Grand Prix,PIA,1.0,4.0,3.0,,,0,0,1,6.4,4.5,0.0967741935483871,0.1290322580645161,0.0,31,0,0,0,0.5603314917127071,0.29685082872928176,0.47287482806052267,727,,,,0,,,0
CGP25,Chinese Grand Prix,RUS,2.0,6.0,5.0,,,0,0,0,7.9,6.4,0.0619469026548672,0.1238938053097345,0.0088495575221238,113,0,0,0,0.0844186046511628,0.04,0.061676300578034686,173,,,,0,,,0
CGP25,Chinese Grand Prix,SAI,12.0,18.0,15.0,,,0,0,0,6.9,5.6,0.0265486725663716,0.1592920353982301,0.0442477876106194,113,0,0,0,0.03,0.03,0.03,1,,,,0,,,0
CGP25,Chinese Grand Prix,STR,15.0,11.0,12.0,,,0,0,0,11.3,12.1,0.0,0.0267857142857142,0.0089285714285714,112,0,0,0,,,,0,,,,0,,,0
CGP25,Chinese Grand Prix,TSU,9.0,8.0,10.0,,,0,0,0,12.8,9.9,0.0133333333333333,0.04,0.0,75,0,0,0,0.03,0.03,0.03,3,,,,0,,,0
CGP25,Chinese Grand Prix,VER,4.0,3.0,16.0,,,0,1,0,4.9,1.8,0.2566371681415929,0.5752212389380531,0.3451327433628318,113,0,0,0,0.12074074074074075,0.15925925925925927,0.15824074074074074,108,,,,0,,,0
JGP25,Japanese Grand Prix,ALB,9.0,6.0,11.0,11.0,7.0,0,0,0,11.1,12.0,0.0,0.108695652173913,0.0108695652173913,92,0,1,0,,,,0,0.03,0.04,0.03,5,,,0
JGP25,Japanese Grand Prix,ALO,13.0,11.0,7.0,17.0,15.0,0,0,0,9.6,10.2,0.0263157894736842,0.1710526315789473,0.0,76,0,1,0,,,,0,0.01,0.01,0.01,2,,,0
JGP25,Japanese Grand Prix,ANT,6.0,1.0,9.0,16.0,13.0,1,1,0,10.5,12.0,0.0,0.0,0.0,2,0,1,0,0.05,0.02,0.04166666666666667,6,0.1,0.11,0.08,7,,,0
JGP25,Japanese Grand Prix,BEA,10.0,15.0,18.0,15.0,16.0,0,0,0,12.0,14.0,0.0,0.0,0.0,6,0,1,0,,,,0,,,,0,,,0
JGP25,Japanese Grand Prix,BOR,17.0,16.0,20.0,13.0,17.0,0,0,0,7.0,17.0,0.0,0.0,0.0,2,0,1,0,,,,0,,,,0,,,0
JGP25,Japanese Grand Prix,DOO,19.0,20.0,,20.0,14.0,0,0,0,16.0,15.5,0.0,0.0,0.0,6,0,1,0,,,,0,,,,0,,,0
JGP25,Japanese Grand Prix,GAS,11.0,12.0,14.0,9.0,8.0,0,0,0,12.5,14.5,0.0263157894736842,0.0701754385964912,0.0,114,0,1,0,,,,0,,,,0,,,0
JGP25,Japanese Grand Prix,HAD,7.0,7.0,8.0,3.0,10.0,0,0,0,7.0,9.0,0.0,0.0,0.0,4,0,1,0,0.02,0.02,0.02,1,,,,0,,,0
JGP25,Japanese Grand Prix,HAM,8.0,9.0,4.0,4.0,6.0,0,0,0,6.9,8.9,0.2300884955752212,0.5309734513274337,0.2123893805309734,113,0,1,0,0.01,0.065,0.04421052631578948,19,0.165,0.3275,0.2575,16,,,0
JGP25,Japanese Grand Prix,HIR,,,12.0,,,0,0,0,10.0,10.0,0.0,0.0,0.0,0,0,1,0,,,,0,,,,0,,,0
JGP25,Japanese Grand Prix,HUL,16.0,19.0,17.0,12.0,20.0,0,0,0,13.9,12.4,0.0,0.0,0.0,58,0,1,0,,,,0,,,,0,,,0
JGP25,Japanese Grand Prix,LAW,14.0,17.0,13.0,5.0,12.0,0,0,0,11.142857142857142,15.714285714285714,0.0,0.1,0.0,10,0,1,0,0.06,0.06,0.06,1,,,,0,,,0
JGP25,Japanese Grand Prix,LEC,4.0,10.0,3.0,7.0,4.0,0,0,0,6.2,4.1,0.0789473684210526,0.2280701754385964,0.1929824561403508,114,0,1,0,0.05333333333333333,0.06333333333333332,0.05333333333333333,15,0.05333333333333333,0.34,0.28733333333333333,15,,,0
JGP25,Japanese Grand Prix,NOR,2.0,5.0,1.0,2.0,1.0,0,0,0,4.9,4.1,0.0614035087719298,0.1578947368421052,0.0350877192982456,114,0,1,0,0.17727272727272728,0.415,0.3211173184357542,179,0.8957142857142857,0.7371428571428571,0.7582142857142857,28,,,0
JGP25,Japanese Grand Prix,OCO,18.0,14.0,19.0,14.0,18.0,0,0,0,15.2,14.6,0.0,0.0,0.0,93,0,1,0,,,,0,,,,0,,,0
JGP25,Japanese Grand Prix,PIA,3.0,2.0,15.0,1.0,2.0,0,1,0,6.3,4.3,0.09375,0.125,0.03125,32,0,1,0,0.1025925925925926,0.3322222222222222,0.23311926605504588,109,0.985,0.6675,0.7873684210526316,19,,,0
JGP25,Japanese Grand Prix,RUS,5.0,8.0,2.0,6.0,3.0,0,0,0,7.8,6.2,0.0614035087719298,0.1228070175438596,0.0087719298245614,114,0,1,0,0.02,0.065,0.04294117647058823,17,0.20714285714285716,0.37142857142857144,0.36892857142857144,28,,,0
JGP25,Japanese Grand Prix,SAI,12.0,4.0,10.0,10.0,11.0,0,0,0,7.8,6.6,0.0263157894736842,0.1578947368421052,0.043859649122807,114,0,1,0,0.06,0.06,0.06,1,0.01,0.04,0.025,4,,,0
JGP25,Japanese Grand Prix,STR,20.0,18.0,16.0,19.0,19.0,0,0,0,12.0,12.2,0.0,0.0265486725663716,0.0088495575221238,113,0,1,0,,,,0,,,,0,,,0
JGP25,Japanese Grand Prix,TSU,15.0,13.0,6.0,18.0,9.0,0,0,0,12.0,10.1,0.0131578947368421,0.0394736842105263,0.0,76,0,1,0,0.01,0.02,0.024,15,0.04333333333333333,0.11833333333333335,0.10592592592592594,27,,,0
JGP25,Japanese Grand Prix,VER,1.0,3.0,5.0,8.0,5.0,0,1,1,5.1,2.1,0.2543859649122807,0.5789473684210527,0.3421052631578947,114,0,1,0,0.8757142857142857,0.19957142857142857,0.49437722419928826,281,0.8645454545454545,0.5436363636363637,0.7042222222222222,45,,,0
BGP25,Bahrain Grand Prix,ALB,16.0,13.0,4.0,11.0,15.0,0,0,0,11.4,11.6,0.0,0.1075268817204301,0.010752688172043,93,0,0,1,0.02,0.02,0.02,2,,,,0,,,0
BGP25,Bahrain Grand Prix,ALO,14.0,18.0,,15.0,14.0,0,0,0,10.4,10.9,0.0259740259740259,0.1688311688311688,0.0,77,0,0,1,,,,0,,,,0,,,0
BGP25,Bahrain Grand Prix,ANT,4.0,9.0,20.0,5.0,5.0,0,0,0,7.333333333333333,10.0,0.3333333333333333,0.3333333333333333,0.0,3,0,0,1,0.015,0.015,0.022222222222222223,9,0.05,0.16333333333333333,0.1423076923076923,13,,,0
BGP25,Bahrain Grand Prix,BEA,20.0,15.0,,9.0,16.0,0,0,0,12.75,12.666666666666666,0.0,0.0,0.0,7,0,0,1,,,,0,,,,0,,,0
BGP25,Bahrain Grand Prix,BEG,,,14.0,,,0,0,0,10.0,10.0,0.0,0.0,0.0,1,0,0,1,,,,0,,,,0,,,0
BGP25,Bahrain Grand Prix,BOR,18.0,19.0,11.0,13.0,18.0,0,0,0,10.0,17.0,0.0,0.0,0.0,3,0,0,1,,,,0,,,,0,,,0
BGP25,Bahrain Grand Prix,BRO,,,13.0,,,0,0,0,10.0,10.0,0.0,0.0,0.0,1,0,0,1,,,,0,,,,0,,,0
BGP25,Bahrain Grand Prix,DOO,11.0,8.0,7.0,14.0,12.0,0,0,0,18.0,16.666666666666668,0.0,0.0,0.0,7,0,0,1,,,,0,,,,0,,,0
BGP25,Bahrain Grand Prix,DRU,,,16.0,,,0,0,0,10.0,10.0,0.0,0.0,0.0,3,0,0,1,,,,0,,,,0,,,0
BGP25,Bahrain Grand Prix,GAS,5.0,7.0,2.0,17.0,6.0,0,0,0,12.3,13.6,0.0260869565217391,0.0695652173913043,0.0,115,0,0,1,0.01,0.02,0.018000000000000002,5,0.075,0.065,0.06875,8,,,0
BGP25,Bahrain Grand Prix,HAD,12.0,10.0,12.0,6.0,7.0,0,0,0,7.0,8.333333333333334,0.0,0.0,0.0,5,0,0,1,,,,0,0.1,0.1,0.1,1,,,0
BGP25,Bahrain Grand Prix,HAM,9.0,6.0,3.0,8.0,10.0,0,0,0,7.1,8.8,0.2280701754385964,0.5263157894736842,0.2105263157894736,114,0,0,1,0.02,0.05,0.037000000000000005,10,0.04333333333333333,0.14666666666666667,0.07857142857142857,14,,,0
BGP25,Bahrain Grand Prix,HIR,,,17.0,,,0,0,0,10.0,10.0,0.0,0.0,0.0,1,0,0,1,,,,0,,,,0,,,0
BGP25,Bahrain Grand Prix,HUL,15.0,16.0,6.0,20.0,19.0,0,0,0,14.3,13.0,0.0,0.0,0.0,59,0,0,1,,,,0,,,,0,,,0
BGP25,Bahrain Grand Prix,IWA,,,19.0,,,0,0,0,10.0,10.0,0.0,0.0,0.0,1,0,0,1,,,,0,,,,0,,,0
BGP25,Bahrain Grand Prix,LAW,17.0,17.0,8.0,12.0,13.0,0,0,0,11.875,15.5,0.0,0.0909090909090909,0.0,11,0,0,1,,,,0,,,,0,,,0
BGP25,Bahrain Grand Prix,LEC,3.0,4.0,,4.0,3.0,0,0,0,7.0,4.4,0.0782608695652174,0.2260869565217391,0.1913043478260869,115,0,0,1,0.04,0.06838709677419355,0.060393700787401576,127,0.4072727272727273,0.23818181818181816,0.3679545454545455,44,,,0
BGP25,Bahrain Grand Prix,NOR,6.0,3.0,1.0,2.0,2.0,0,1,0,4.9,3.6,0.0608695652173913,0.1565217391304348,0.0347826086956521,115,0,0,1,0.10471428571428572,0.3947142857142857,0.26317857142857143,280,0.98,0.726,0.7347619047619048,21,,,0
BGP25,Bahrain Grand Prix,OCO,13.0,12.0,5.0,16.0,11.0,0,0,0,14.6,14.5,0.0,0.0,0.0,94,0,0,1,,,,0,,,,0,,,0
BGP25,Bahrain Grand Prix,PIA,1.0,1.0,10.0,1.0,1.0,1,1,1,5.6,3.8,0.0909090909090909,0.1515151515151515,0.0303030303030303,33,0,0,1,0.9283333333333332,0.6059722222222222,0.7698275862068965,290,0.905,0.7,0.8118181818181819,11,,,0
BGP25,Bahrain Grand Prix,RUS,2.0,2.0,,3.0,4.0,0,1,0,7.4,6.4,0.0608695652173913,0.1217391304347826,0.008695652173913,115,0,0,1,0.09763157894736843,0.12894736842105264,0.10928571428571429,154,0.94,0.5985714285714285,0.8144827586206896,87,,,0
BGP25,Bahrain Grand Prix,SAI,8.0,11.0,,10.0,9.0,0,0,0,7.6,6.1,0.0260869565217391,0.1565217391304348,0.0434782608695652,115,0,0,1,,,,0,,,,0,,,0
