round,event,driver,grid,market,price,base_rate,edge,contracts,cost,pnl,outcome,bankroll
2,Chinese Grand Prix,RUS,2,winner,0.0736637589214909,0.22058823529411764,0.14692447637262673,67,4.93547184773989,-5.034181284694688,0,94.96581871530532
8,Monaco Grand Prix,HAM,4,winner,0.029806733167082294,0.11029411764705882,0.08048738447997653,159,4.739270573566085,-4.8340559850374065,0,90.13176273026791
21,São Paulo Grand Prix,BEA,3,winner,0.020436128306133932,0.10294117647058823,0.0825050481644543,220,4.495948227349465,-4.585867191896454,0,85.54589553837145
