event,event_name,driver,qual_pos,finish_pos,won,podium,pole,avg_race_pos,win_rate,podium_rate,track_type_street,race_pre_weekend_vwap,race_pre_weekend_last,race_pre_weekend_n,race_friday_vwap,race_friday_last,race_friday_n,race_saturday_vwap,race_saturday_last,race_saturday_n,race_race_day_vwap,race_race_day_last,race_race_day_n,pod_pre_weekend_vwap,pod_pre_weekend_last,pod_pre_weekend_n,pod_friday_vwap,pod_friday_last,pod_friday_n,pod_saturday_vwap,pod_saturday_last,pod_saturday_n,pod_race_day_vwap,pod_race_day_last,pod_race_day_n
CGP25,Chinese Grand Prix,LEC,6.0,13.0,0,0,0,5.7,0.079646017699115,0.2300884955752212,0,0.05,0.05,3,,,0,0.08866666666666667,0.08,15,0.0425,0.01,8,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,NOR,3.0,2.0,0,1,0,5.3,0.0619469026548672,0.1504424778761062,0,0.485,0.5,2,0.476875,0.42,16,0.40345454545454545,0.29,110,0.32734375,0.01,64,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,OCO,11.0,5.0,0,0,0,15.7,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,PIA,1.0,4.0,0,0,1,6.4,0.0967741935483871,0.1290322580645161,0,0.24,0.24,2,0.22333333333333333,0.23,3,0.4539065420560748,0.53,535,0.5668376068376069,0.99,117,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,RUS,2.0,6.0,0,0,0,7.9,0.0619469026548672,0.1238938053097345,0,0.04,0.04,3,0.04263157894736842,0.05,76,0.08452830188679245,0.11,53,0.07708333333333334,0.01,24,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,SAI,12.0,18.0,0,0,0,6.9,0.0265486725663716,0.1592920353982301,0,,,0,,,0,,,0,0.03,0.03,1,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,STR,15.0,11.0,0,0,0,11.3,0.0,0.0267857142857142,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,TSU,9.0,8.0,0,0,0,12.8,0.0133333333333333,0.04,0,,,0,0.03,0.03,1,0.03,0.03,1,0.03,0.03,1,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,VER,4.0,3.0,0,1,0,4.9,0.2566371681415929,0.5752212389380531,0,0.22,0.2,4,0.13892857142857143,0.13,28,0.21766666666666665,0.12,30,0.1215625,0.01,32,,,0,,,0,,,0,,,0
JGP25,Japanese Grand Prix,ALB,9.0,6.0,0,0,0,11.1,0.0,0.108695652173913,0,,,0,,,0,,,0,,,0,0.025,0.01,2,,,0,,,0,0.03,0.03,2
JGP25,Japanese Grand Prix,ALO,13.0,11.0,0,0,0,9.6,0.0263157894736842,0.1710526315789473,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.01,0.01,1
JGP25,Japanese Grand Prix,ANT,6.0,1.0,1,1,0,10.5,0.0,0.0,0,0.02,0.02,1,,,0,,,0,0.055,0.04,4,0.08,0.05,2,0.07333333333333333,0.07,3,0.08,0.08,1,0.1,0.1,1
JGP25,Japanese Grand Prix,BEA,10.0,15.0,0,0,0,12.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
JGP25,Japanese Grand Prix,BOR,17.0,16.0,0,0,0,7.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
JGP25,Japanese Grand Prix,DOO,19.0,20.0,0,0,0,16.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
JGP25,Japanese Grand Prix,GAS,11.0,12.0,0,0,0,12.5,0.0263157894736842,0.0701754385964912,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
JGP25,Japanese Grand Prix,HAD,7.0,7.0,0,0,0,7.0,0.0,0.0,0,,,0,,,0,,,0,0.02,0.02,1,,,0,,,0,,,0,,,0
JGP25,Japanese Grand Prix,HAM,8.0,9.0,0,0,0,6.9,0.2300884955752212,0.5309734513274337,0,0.07,0.07,2,0.06,0.06,1,0.04,0.03,5,0.04,0.01,11,0.33666666666666667,0.3,3,0.2814285714285714,0.28,7,0.16,0.14,3,0.19,0.2,2
JGP25,Japanese Grand Prix,HIR,,,0,0,0,10.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
JGP25,Japanese Grand Prix,HUL,16.0,19.0,0,0,0,13.9,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
JGP25,Japanese Grand Prix,LAW,14.0,17.0,0,0,0,11.142857142857142,0.0,0.1,0,,,0,,,0,,,0,0.06,0.06,1,,,0,,,0,,,0,,,0
JGP25,Japanese Grand Prix,LEC,4.0,10.0,0,0,0,6.2,0.0789473684210526,0.2280701754385964,0,0.07,0.07,1,0.06,0.06,1,0.05333333333333333,0.04,3,0.051,0.02,10,0.33,0.3,2,0.275,0.28,2,0.305,0.33,2,0.26625,0.05,8
JGP25,Japanese Grand Prix,NOR,2.0,5.0,0,0,0,4.9,0.0614035087719298,0.1578947368421052,0,0.37,0.37,5,0.41100000000000003,0.42,10,0.425,0.41,18,0.29766129032258065,0.01,124,0.728,0.68,5,0.78,0.78,1,0.794,0.84,5,0.6877777777777777,0.98,9
JGP25,Japanese Grand Prix,OCO,18.0,14.0,0,0,0,15.2,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
JGP25,Japanese Grand Prix,PIA,3.0,2.0,0,1,0,6.3,0.09375,0.125,0,0.3307142857142857,0.29,28,0.28454545454545455,0.32,11,0.29285714285714287,0.2,14,0.1408888888888889,0.13,45,0.72,0.68,3,0.65,0.75,3,0.7133333333333333,0.73,6,0.93,0.99,6
JGP25,Japanese Grand Prix,RUS,5.0,8.0,0,0,0,7.8,0.0614035087719298,0.1228070175438596,0,0.07,0.07,2,,,0,0.0375,0.04,4,0.03888888888888889,0.02,9,0.37,0.33,3,0.35,0.35,1,0.36333333333333334,0.37,3,0.3842857142857143,0.02,14
JGP25,Japanese Grand Prix,SAI,12.0,4.0,0,0,0,7.8,0.0263157894736842,0.1578947368421052,0,,,0,,,0,,,0,0.06,0.06,1,0.03,0.01,3,,,0,,,0,0.01,0.01,1
JGP25,Japanese Grand Prix,STR,20.0,18.0,0,0,0,12.0,0.0,0.0265486725663716,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
JGP25,Japanese Grand Prix,TSU,15.0,13.0,0,0,0,12.0,0.0131578947368421,0.0394736842105263,0,0.03,0.04,6,0.05,0.05,1,,,0,0.01714285714285714,0.01,7,0.1,0.06,6,0.14090909090909093,0.14,11,0.06333333333333332,0.04,3,0.04,0.02,3
JGP25,Japanese Grand Prix,VER,1.0,3.0,0,1,1,5.1,0.2543859649122807,0.5789473684210527,0,0.13,0.13,9,0.13428571428571429,0.11,21,0.2761764705882353,0.32,34,0.6010714285714286,0.95,196,0.5489999999999999,0.55,10,0.555,0.56,2,0.6981818181818181,0.75,11,0.8252941176470588,0.92,17
BGP25,Bahrain Grand Prix,ALB,16.0,13.0,0,0,0,11.4,0.0,0.1075268817204301,0,,,0,,,0,,,0,0.02,0.02,1,,,0,,,0,,,0,,,0
