round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
3,Japan,JGP25,RACEPODIUM,LEC,4,YES,0.3267,0.1128,0.55,0,-0.55,99.45
4,Bahrain,BGP25,RACEPODIUM,ANT,4,YES,0.18,0.2615,0.86,0,-0.86,98.6
4,Bahrain,BGP25,RACEPODIUM,NOR,6,NO,0.6025,0.5345,5.26,1,-5.26,93.34
4,Bahrain,BGP25,RACEPODIUM,VER,7,NO,0.2471,0.1762,5.34,0,1.63,94.97
5,Saudi Arabia,SAGP25,RACEPODIUM,VER,1,YES,0.68,0.1966,3.97,1,1.74,96.7
5,Saudi Arabia,SAGP25,RACEPODIUM,LEC,4,YES,0.1611,0.2696,0.98,1,4.76,101.46
5,Saudi Arabia,SAGP25,RACEPODIUM,NOR,10,NO,0.395,0.3478,5.06,0,3.07,104.54
6,Miami,MGP25,RACEPODIUM,ANT,3,YES,0.3731,0.2218,1.38,0,-1.38,103.16
7,Emilia Romagna,ERGP25,RACEPODIUM,RUS,3,YES,0.4113,0.173,1.25,0,-1.25,101.91
8,Monaco,MCGP25,RACEPODIUM,HAM,4,YES,0.205,0.2646,1.74,0,-1.74,100.17
10,Canada,CAGP25,RACEPODIUM,RUS,1,YES,0.625,0.2516,4.2,1,2.34,102.52
10,Canada,CAGP25,RACEPODIUM,ANT,4,YES,0.1536,0.2595,0.94,1,4.84,107.35
10,Canada,CAGP25,RACEPODIUM,NOR,7,NO,0.6573,0.5864,4.59,0,8.19,115.54
11,Austria,AUGP25,RACEPODIUM,HAM,4,YES,0.2029,0.212,0.94,0,-0.94,114.61
11,Austria,AUGP25,RACEPODIUM,PIA,3,NO,0.768,0.2368,0.83,1,-0.83,113.78
11,Austria,AUGP25,RACEPODIUM,VER,7,NO,0.404,0.3331,5.68,0,3.58,117.36
12,Great Britain,BRGP25,RACEPODIUM,RUS,4,YES,0.1767,0.2335,0.88,0,-0.88,116.48
12,Great Britain,BRGP25,RACEPODIUM,NOR,3,NO,0.7091,0.2039,0.98,1,-0.98,115.5
13,Belgium,BELGP25,RACEPODIUM,LEC,3,YES,0.3678,0.2165,1.45,1,2.33,117.82
14,Hungary,HUNGP25,RACEPODIUM,LEC,1,YES,0.685,0.1915,4.91,0,-4.91,112.92
17,Azerbaijan,AZEGP25,RACEPODIUM,SAI,2,YES,0.1653,0.6167,1.38,1,6.48,119.39
17,Azerbaijan,AZEGP25,RACEPODIUM,LAW,3,YES,0.1,0.4843,0.61,0,-0.61,118.78
17,Azerbaijan,AZEGP25,RACEPODIUM,ANT,4,YES,0.2054,0.2278,1.66,0,-1.66,117.12
17,Azerbaijan,AZEGP25,RACEPODIUM,NOR,7,NO,0.6623,0.6048,6.96,0,12.7,129.82
17,Azerbaijan,AZEGP25,RACEPODIUM,PIA,9,NO,0.5657,0.5501,4.77,0,5.78,135.6
17,Azerbaijan,AZEGP25,RACEPODIUM,LEC,10,NO,0.1571,0.1098,6.66,0,1.15,136.75
18,Singapore,SINGP25,RACEPODIUM,ANT,4,YES,0.1931,0.2405,1.18,0,-1.18,135.57
20,Mexico,GRAPDM25,RACEPODIUM,VER,5,NO,0.5901,0.4026,3.79,1,-3.79,131.78
20,Mexico,GRAPDM25,RACEPODIUM,PIA,8,NO,0.155,0.1314,14.56,0,2.48,134.27
21,São Paulo,SAOPGP25,RACEPODIUM,VER,16,NO,0.1274,0.1274,11.72,1,-11.72,122.55
22,Las Vegas,LASVGP25,RACEPODIUM,SAI,3,YES,0.1989,0.3854,1.17,0,-1.17,121.38
22,Las Vegas,LASVGP25,RACEPODIUM,LEC,9,NO,0.2038,0.1882,9.01,0,2.14,123.52
