round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
4,Bahrain,BGP25,RACEPODIUM,ANT,4,YES,0.18,0.1716,0.75,0,-0.75,99.25
5,Saudi Arabia,SAGP25,RACEPODIUM,LEC,4,YES,0.1611,0.1905,0.73,1,3.52,102.76
8,Monaco,MCGP25,RACEPODIUM,HAM,4,YES,0.205,0.1466,0.78,0,-0.78,101.99
10,Canada,CAGP25,RACEPODIUM,ANT,4,YES,0.1536,0.198,0.73,1,3.76,105.74
11,Austria,AUGP25,RACEPODIUM,HAM,4,YES,0.2029,0.1487,0.8,0,-0.8,104.94
12,Great Britain,BRGP25,RACEPODIUM,RUS,4,YES,0.1767,0.1749,0.79,0,-0.79,104.15
15,Netherlands,DUTGP25,RACEPODIUM,HAD,4,YES,0.0971,0.2545,0.57,1,4.93,109.08
17,Azerbaijan,AZEGP25,RACEPODIUM,ANT,4,YES,0.2054,0.1462,0.82,0,-0.82,108.26
18,Singapore,SINGP25,RACEPODIUM,ANT,4,YES,0.1931,0.1585,0.82,0,-0.82,107.44
