round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
4,Bahrain,BGP25,RACEPODIUM,NOR,6,NO,0.6025,0.4853,6.4,1,-6.4,93.6
4,Bahrain,BGP25,RACEPODIUM,VER,7,NO,0.2471,0.1762,10.74,0,3.28,96.87
5,Saudi Arabia,SAGP25,RACEPODIUM,NOR,10,NO,0.395,0.3478,10.32,0,6.27,103.14
10,Canada,CAGP25,RACEPODIUM,NOR,7,NO,0.6573,0.5864,6.31,0,11.25,114.39
11,Austria,AUGP25,RACEPODIUM,VER,7,NO,0.404,0.3331,11.24,0,7.09,121.48
17,Azerbaijan,AZEGP25,RACEPODIUM,NOR,7,NO,0.6623,0.5914,7.33,0,13.36,134.84
17,Azerbaijan,AZEGP25,RACEPODIUM,PIA,9,NO,0.5657,0.5501,10.26,0,12.43,147.27
20,Mexico,GRAPDM25,RACEPODIUM,VER,5,NO,0.5901,0.4026,8.24,1,-8.24,139.03
22,Las Vegas,LASVGP25,RACEPODIUM,LEC,9,NO,0.2038,0.1882,20.44,0,4.87,143.9
