round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
3,Japan,JGP25,RACEPODIUM,NOR,2,NO,0.83,0.1191,0.61,1,-0.61,99.39
3,Japan,JGP25,RACEPODIUM,PIA,3,NO,0.69,0.1587,1.78,1,-1.78,97.61
3,Japan,JGP25,RACEPODIUM,RUS,5,NO,0.4431,0.2556,8.03,0,5.94,103.55
3,Japan,JGP25,RACEPODIUM,HAM,8,NO,0.16,0.1364,15.0,0,2.66,106.21
4,Bahrain,BGP25,RACEPODIUM,NOR,6,NO,0.6025,0.4853,8.5,1,-8.5,97.71
4,Bahrain,BGP25,RACEPODIUM,VER,7,NO,0.2471,0.1763,14.26,0,4.35,102.06
5,Saudi Arabia,SAGP25,RACEPODIUM,NOR,10,NO,0.395,0.3478,13.59,0,8.25,110.31
6,Miami,MGP25,RACEPODIUM,PIA,4,NO,0.702,0.3504,4.1,1,-4.1,106.21
7,Emilia Romagna,ERGP25,RACEPODIUM,NOR,4,NO,0.69,0.3384,4.04,1,-4.04,102.17
8,Monaco,MCGP25,RACEPODIUM,PIA,3,NO,0.7391,0.2078,1.87,1,-1.87,100.3
8,Monaco,MCGP25,RACEPODIUM,VER,5,NO,0.52,0.3325,7.84,0,7.9,108.2
9,Spain,SGP25,RACEPODIUM,VER,3,NO,0.73,0.1987,1.99,0,5.0,113.2
9,Spain,SGP25,RACEPODIUM,LEC,7,NO,0.19,0.1191,13.73,1,-13.73,99.46
10,Canada,CAGP25,RACEPODIUM,VER,2,NO,0.836,0.1251,0.61,1,-0.61,98.85
10,Canada,CAGP25,RACEPODIUM,PIA,3,NO,0.8055,0.2742,1.65,0,6.34,105.19
10,Canada,CAGP25,RACEPODIUM,NOR,7,NO,0.6573,0.5864,7.6,0,13.56,118.75
10,Canada,CAGP25,RACEPODIUM,LEC,8,NO,0.195,0.1714,14.92,0,3.36,122.11
11,Austria,AUGP25,RACEPODIUM,PIA,3,NO,0.768,0.2368,2.18,1,-2.18,119.93
11,Austria,AUGP25,RACEPODIUM,VER,7,NO,0.404,0.3331,15.0,0,9.46,129.39
12,Great Britain,BRGP25,RACEPODIUM,NOR,3,NO,0.7091,0.1778,2.36,1,-2.36,127.03
13,Belgium,BELGP25,RACEPODIUM,PIA,2,NO,0.8439,0.133,0.78,1,-0.78,126.25
13,Belgium,BELGP25,RACEPODIUM,VER,4,NO,0.663,0.3114,5.03,0,9.2,135.44
14,Hungary,HUNGP25,RACEPODIUM,PIA,2,NO,0.8694,0.1584,0.81,1,-0.81,134.64
14,Hungary,HUNGP25,RACEPODIUM,NOR,3,NO,0.8478,0.3165,1.92,1,-1.92,132.72
15,Netherlands,DUTGP25,RACEPODIUM,NOR,2,NO,0.8796,0.1686,0.77,0,5.2,137.92
15,Netherlands,DUTGP25,RACEPODIUM,VER,3,NO,0.6885,0.1572,2.36,1,-2.36,135.56
16,Italy,ITAGP25,RACEPODIUM,NOR,2,NO,0.8278,0.1169,0.82,1,-0.82,134.73
16,Italy,ITAGP25,RACEPODIUM,PIA,3,NO,0.7824,0.2512,2.37,1,-2.37,132.37
17,Azerbaijan,AZEGP25,RACEPODIUM,RUS,5,NO,0.3316,0.1441,9.61,1,-9.61,122.75
17,Azerbaijan,AZEGP25,RACEPODIUM,NOR,7,NO,0.6623,0.5914,9.98,0,18.2,140.95
17,Azerbaijan,AZEGP25,RACEPODIUM,PIA,9,NO,0.5657,0.5501,13.98,0,16.93,157.88
17,Azerbaijan,AZEGP25,RACEPODIUM,LEC,10,NO,0.1571,0.1098,19.49,0,3.38,161.26
18,Singapore,SINGP25,RACEPODIUM,PIA,3,NO,0.6948,0.1635,2.9,0,6.13,167.39
18,Singapore,SINGP25,RACEPODIUM,NOR,5,NO,0.4322,0.2447,12.96,1,-12.96,154.43
19,United States,UNISGP25,RACEPODIUM,NOR,2,NO,0.8171,0.1062,0.92,1,-0.92,153.52
19,United States,UNISGP25,RACEPODIUM,RUS,4,NO,0.5083,0.1567,5.85,0,5.63,159.14
19,United States,UNISGP25,RACEPODIUM,PIA,6,NO,0.4361,0.3189,15.92,0,11.45,170.59
20,Mexico,GRAPDM25,RACEPODIUM,VER,5,NO,0.5901,0.4026,11.93,1,-11.93,158.66
20,Mexico,GRAPDM25,RACEPODIUM,PIA,8,NO,0.155,0.1313,23.8,0,4.06,162.72
21,São Paulo,SAOPGP25,RACEPODIUM,PIA,4,NO,0.6917,0.3401,6.17,0,12.87,175.59
21,São Paulo,SAOPGP25,RACEPODIUM,VER,16,NO,0.1274,0.1274,24.41,1,-24.41,151.18
22,Las Vegas,LASVGP25,RACEPODIUM,VER,2,NO,0.8725,0.1616,0.89,1,-0.89,150.29
22,Las Vegas,LASVGP25,RACEPODIUM,RUS,4,NO,0.7569,0.4054,4.92,1,-4.92,145.37
22,Las Vegas,LASVGP25,RACEPODIUM,LEC,9,NO,0.2038,0.1882,21.81,0,5.19,150.56
23,Qatar,QATGP25,RACEPODIUM,NOR,2,NO,0.8153,0.1044,0.89,0,3.65,154.21
23,Qatar,QATGP25,RACEPODIUM,VER,3,NO,0.7361,0.2049,2.77,1,-2.77,151.45
24,Abu Dhabi,ABUDGP25,RACEPODIUM,PIA,3,NO,0.7122,0.181,2.77,1,-2.77,148.68
