round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
7,Emilia Romagna,ERGP25,RACEPODIUM,SAI,6,YES,0.075,0.3979,0.65,0,-0.65,99.35
7,Emilia Romagna,ERGP25,RACEPODIUM,LEC,11,YES,0.07,0.4226,0.64,0,-0.64,98.72
10,Canada,CAGP25,RACEPODIUM,ALO,6,YES,0.06,0.4669,0.59,0,-0.59,98.13
11,Austria,AUGP25,RACEPODIUM,HAM,4,YES,0.2029,0.4177,2.09,0,-2.09,96.04
16,Italy,ITAGP25,RACEPODIUM,RUS,6,YES,0.1404,0.3325,1.04,0,-1.04,95.0
17,Azerbaijan,AZEGP25,RACEPODIUM,TSU,6,YES,0.075,0.3979,0.61,0,-0.61,94.39
20,Mexico,GRAPDM25,RACEPODIUM,RUS,4,YES,0.2933,0.2313,1.81,0,-1.81,92.57
20,Mexico,GRAPDM25,RACEPODIUM,PIA,8,YES,0.155,0.2384,0.83,0,-0.83,91.75
