round,event_code,race_name,market_type,driver,grid_pos,finish_pos,outcome,yes_vwap,no_vwap,volume,n_trades,qual_end_utc,race_start_utc,fp1_pos,fp2_pos,fp3_pos,qual_pos,avg_race_pos,avg_qual_pos,win_rate,podium_rate,pole_rate,consistency,recent_form,n_races,track_type_street,track_type_permanent,track_speed_high,track_speed_low,track_overtaking_high,track_overtaking_low,track_length_km,track_corners,base_rate,edge_base,qual_gap_to_p1,is_front_row,is_midfield,is_backmarker,fp1_to_qual_gain,fp2_to_qual_gain,fp3_to_qual_gain,is_street,is_winner_market,is_podium_market,kalshi_implied,kalshi_overconfidence,log_volume,log_n_trades,ml_LogReg_winner,ml_GBM_winner,ml_RF_winner,ml_LogReg_podium,ml_GBM_podium,ml_RF_podium
2,CGP25,China,RACE,RUS,2,3,0,0.0929,0.9071,1068.0,27,2025-03-22T08:20:00+00:00,2025-03-23T07:00:00+00:00,5.0,,,2.0,7.9,6.4,0.0619469026548672,0.1238938053097345,0.0088495575221238,3.5902646142032486,8.6,113,0,1,0,0,0,0,5.0,16,0.2364,0.1435,1,1,0,0,3.0,,,0,1,0,0.0929,-0.1435,6.974478911025045,3.332204510175204,,,,,,
2,CGP25,China,RACE,NOR,3,2,0,0.3923,0.6077,6803.0,177,2025-03-22T08:20:00+00:00,2025-03-23T07:00:00+00:00,1.0,,,3.0,5.3,4.3,0.0619469026548672,0.1504424778761062,0.0353982300884955,2.7946377224964243,5.2,113,0,1,0,0,0,0,5.0,16,0.1132,-0.2791,2,1,0,0,-2.0,,,0,1,0,0.3923,0.2791,8.825265953515752,5.181783550292085,,,,,,
2,CGP25,China,RACE,HAM,5,19,0,0.0971,0.9029,1905.0,30,2025-03-22T08:20:00+00:00,2025-03-23T07:00:00+00:00,4.0,,,5.0,7.8,9.6,0.2232142857142857,0.5267857142857143,0.2142857142857142,4.935585071701226,7.4,112,0,1,0,0,0,0,5.0,16,0.0833,-0.0138,4,0,1,0,-1.0,,,0,1,0,0.0971,0.0138,7.552762084214147,3.4339872044851463,,,,,,
2,CGP25,China,RACE,LEC,6,18,0,0.0602,0.9398,228.0,11,2025-03-22T08:20:00+00:00,2025-03-23T07:00:00+00:00,2.0,,,6.0,5.7,3.7,0.079646017699115,0.2300884955752212,0.1946902654867256,3.5791060336346563,7.2,113,0,1,0,0,0,0,5.0,16,0.0849,0.0247,5,0,1,0,-4.0,,,0,1,0,0.0602,-0.0247,5.43372200355424,2.4849066497880004,,,,,,
3,JGP25,Japan,RACE,VER,1,1,1,0.3236,0.6764,9211.0,87,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00,5.0,8.0,5.0,1.0,5.1,2.1,0.2543859649122807,0.5789473684210527,0.3421052631578947,5.318834458788881,5.0,114,0,1,1,0,0,1,5.807,18,0.25,-0.0736,0,1,0,0,4.0,7.0,4.0,0,1,0,0.3236,0.0736,9.128262260940575,4.477336814478207,0.09387902919736421,0.10959613664318317,0.1667529001100847,,,
3,JGP25,Japan,RACE,RUS,5,5,0,0.052,0.948,2383.0,9,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00,2.0,6.0,3.0,5.0,7.8,6.2,0.0614035087719298,0.1228070175438596,0.0087719298245614,3.627671429443411,7.6,114,0,1,1,0,0,1,5.807,18,0.0833,0.0313,4,0,1,0,-3.0,1.0,-2.0,0,1,0,0.052,-0.0313,7.776535028185241,2.302585092994046,0.07673203228389903,0.3315612159125734,0.08182226120856015,,,
3,JGP25,Japan,RACE,NOR,2,2,0,0.419,0.581,3221.0,47,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00,1.0,2.0,1.0,2.0,4.9,4.1,0.0614035087719298,0.1578947368421052,0.0350877192982456,2.947880594596735,4.8,114,0,1,1,0,0,1,5.807,18,0.2364,-0.1825999999999999,1,1,0,0,-1.0,0.0,-1.0,0,1,0,0.419,0.1825999999999999,8.07775756373692,3.8712010109078903,0.18994684063507195,0.6621800359293611,0.1566424810379394,,,
3,JGP25,Japan,RACE,PIA,3,3,0,0.2156,0.7844,605.0,18,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00,15.0,1.0,2.0,3.0,6.3,4.3,0.09375,0.125,0.03125,3.163858403911275,4.8,32,0,1,1,0,0,1,5.807,18,0.1132,-0.1024,2,1,0,0,12.0,-2.0,-1.0,0,1,0,0.2156,0.1024,6.406879986069314,2.9444389791664403,0.06643439122949794,0.058041207718322864,0.0926286164412588,,,
3,JGP25,Japan,RACE,HAM,8,7,0,0.0317,0.9683,3294.0,5,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00,4.0,4.0,6.0,8.0,6.9,8.9,0.2300884955752212,0.5309734513274337,0.2123893805309734,5.262128846769148,4.8,113,0,1,1,0,0,1,5.807,18,0.018,-0.0137,7,0,1,0,-4.0,-4.0,-2.0,0,1,0,0.0317,0.0137,8.100161446936607,1.791759469228055,0.06575744593996664,0.05078314060314171,0.08910541385282614,,,
3,JGP25,Japan,RACE,LEC,4,4,0,0.0453,0.9547,684.0,6,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00,3.0,7.0,4.0,4.0,6.2,4.1,0.0789473684210526,0.2280701754385964,0.1929824561403508,4.166533331199932,8.6,114,0,1,1,0,0,1,5.807,18,0.1111,0.0658,3,0,1,0,-1.0,3.0,0.0,0,1,0,0.0453,-0.0658,6.529418838262226,1.9459101490553128,0.07506225462657552,0.06186471881189826,0.06275290951032272,,,
3,JGP25,Japan,RACEPODIUM,PIA,3,3,1,0.6776,0.3224,189.0,6,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00,15.0,1.0,2.0,3.0,6.3,4.3,0.09375,0.125,0.03125,3.163858403911275,4.8,32,0,1,1,0,0,1,5.807,18,0.4057,-0.2719,2,1,0,0,12.0,-2.0,-1.0,0,0,1,0.6776,0.2719,5.247024072160486,1.9459101490553128,,,,0.26294540918982745,0.2710816590464192,0.33020475155170415
3,JGP25,Japan,RACEPODIUM,VER,1,1,1,0.7486,0.2514,904.0,17,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00,5.0,8.0,5.0,1.0,5.1,2.1,0.2543859649122807,0.5789473684210527,0.3421052631578947,5.318834458788881,5.0,114,0,1,1,0,0,1,5.807,18,0.6481,-0.1005,0,1,0,0,4.0,7.0,4.0,0,0,1,0.7486,0.1005,6.807934943699926,2.8903717578961645,,,,0.5239311896973301,0.4017452751416886,0.4971742462743486
3,JGP25,Japan,RACEPODIUM,RUS,5,5,0,0.4234,0.5766,416.0,15,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00,2.0,6.0,3.0,5.0,7.8,6.2,0.0614035087719298,0.1228070175438596,0.0087719298245614,3.627671429443411,7.6,114,0,1,1,0,0,1,5.807,18,0.2037,-0.2197,4,0,1,0,-3.0,1.0,-2.0,0,0,1,0.4234,0.2197,6.0330862217988015,2.772588722239781,,,,0.3041814889803769,0.17269928636776175,0.25933164704937484
3,JGP25,Japan,RACEPODIUM,TSU,15,12,0,0.0484,0.9516,755.0,6,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00,6.0,18.0,9.0,15.0,12.0,10.1,0.0131578947368421,0.0394736842105263,0.0,5.118593556827891,7.8,76,0,1,1,0,0,1,5.807,18,0.0283,-0.0201,14,0,0,1,-9.0,3.0,-6.0,0,0,1,0.0484,0.0201,6.628041376179533,1.9459101490553128,,,,0.05542268211003604,0.025468702720501668,0.04781863188976265
3,JGP25,Japan,RACEPODIUM,HAM,8,7,0,0.1759,0.8241,741.0,4,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00,4.0,4.0,6.0,8.0,6.9,8.9,0.2300884955752212,0.5309734513274337,0.2123893805309734,5.262128846769148,4.8,113,0,1,1,0,0,1,5.807,18,0.0721,-0.1038,7,0,1,0,-4.0,-4.0,-2.0,0,0,1,0.1759,0.1038,6.60934924316738,1.6094379124341005,,,,0.33161232923749173,0.12884269805794357,0.26415112077272274
3,JGP25,Japan,RACEPODIUM,NOR,2,2,1,0.7968,0.2032,222.0,5,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00,1.0,2.0,1.0,2.0,4.9,4.1,0.0614035087719298,0.1578947368421052,0.0350877192982456,2.947880594596735,4.8,114,0,1,1,0,0,1,5.807,18,0.5455,-0.2512999999999999,1,1,0,0,-1.0,0.0,-1.0,0,0,1,0.7968,0.2512999999999999,5.407171771460119,1.791759469228055,,,,0.5565442203865398,0.4779576692491391,0.42893407787035387
3,JGP25,Japan,RACEPODIUM,LEC,4,4,0,0.3291,0.6709,212.0,4,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00,3.0,7.0,4.0,4.0,6.2,4.1,0.0789473684210526,0.2280701754385964,0.1929824561403508,4.166533331199932,8.6,114,0,1,1,0,0,1,5.807,18,0.3704,0.0413,3,0,1,0,-1.0,3.0,0.0,0,0,1,0.3291,-0.0413,5.3612921657094255,1.6094379124341005,,,,0.37712285100701187,0.11105187051155942,0.268439809836069
4,BGP25,Bahrain,RACE,RUS,2,2,0,0.1221,0.8779,8273.0,93,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,,3.0,4.0,2.0,7.4,6.4,0.0608695652173913,0.1217391304347826,0.008695652173913,3.352610922848042,6.6,115,0,1,0,0,1,0,5.412,15,0.2364,0.1143,1,1,0,0,,1.0,2.0,0,1,0,0.1221,-0.1143,9.020873347021356,4.543294782270004,,,,,,
4,BGP25,Bahrain,RACE,NOR,6,3,0,0.182,0.818,10842.0,102,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,1.0,2.0,2.0,6.0,4.9,3.6,0.0608695652173913,0.1565217391304348,0.0347826086956521,2.947880594596735,4.8,115,0,1,0,0,1,0,5.412,15,0.0849,-0.0970999999999999,5,0,1,0,-5.0,-4.0,-4.0,0,1,0,0.182,0.0970999999999999,9.291274989472182,4.634728988229636,0.16632498082652158,0.621997452059438,0.1355787812415092,,,
4,BGP25,Bahrain,RACE,HAM,9,5,0,0.0214,0.9786,294.0,5,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,3.0,8.0,10.0,9.0,7.1,8.8,0.2280701754385964,0.5263157894736842,0.2105263157894736,5.3,5.2,114,0,1,0,0,1,0,5.412,15,0.0,-0.0214,8,0,1,0,-6.0,-1.0,1.0,0,1,0,0.0214,0.0214,5.68697535633982,1.791759469228055,0.05294502405577753,0.052013453478321606,0.07153105089636294,,,
4,BGP25,Bahrain,RACE,LEC,3,4,0,0.0717,0.9283,10599.0,69,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,,4.0,3.0,3.0,7.0,4.4,0.0782608695652174,0.2260869565217391,0.1913043478260869,4.049691346263317,9.4,115,0,1,0,0,1,0,5.412,15,0.1132,0.0414999999999999,2,1,0,0,,1.0,0.0,0,1,0,0.0717,-0.0414999999999999,9.268609280100158,4.248495242049359,,,,,,
4,BGP25,Bahrain,RACE,PIA,1,1,1,0.7168,0.2832,11374.0,128,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,10.0,1.0,1.0,1.0,5.6,3.8,0.0909090909090909,0.1515151515151515,0.0303030303030303,3.261901286060018,5.0,33,0,1,0,0,1,0,5.412,15,0.25,-0.4668,0,1,0,0,9.0,0.0,0.0,0,1,0,0.7168,0.4668,9.33917324381915,4.859812404361672,0.10884062679160382,0.08956874215217903,0.11227265919224134,,,
4,BGP25,Bahrain,RACE,GAS,5,7,0,0.02,0.98,351.0,4,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,2.0,17.0,6.0,5.0,12.3,13.6,0.0260869565217391,0.0695652173913043,0.0,4.001249804748512,13.0,115,0,1,0,0,1,0,5.412,15,0.0833,0.0633,4,0,1,0,-3.0,12.0,1.0,0,1,0,0.02,-0.0633,5.863631175598097,1.6094379124341005,0.01806695720544058,0.1887610020415053,0.05089722558609795,,,
4,BGP25,Bahrain,RACE,VER,7,6,0,0.0546,0.9454,5295.0,45,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,,7.0,8.0,7.0,5.3,2.0,0.2521739130434782,0.5826086956521739,0.3478260869565217,5.197114584074513,4.0,115,0,1,0,0,1,0,5.412,15,0.0288,-0.0258,6,0,1,0,,0.0,1.0,0,1,0,0.0546,0.0258,8.574707097616844,3.828641396489095,,,,,,
4,BGP25,Bahrain,RACE,ANT,4,11,0,0.0217,0.9783,1312.0,8,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,20.0,5.0,5.0,4.0,7.333333333333333,10.0,0.3333333333333333,0.3333333333333333,0.0,4.642796092394707,7.333333333333333,3,0,1,0,0,1,0,5.412,15,0.1111,0.0894,3,0,1,0,16.0,1.0,1.0,0,1,0,0.0217,-0.0894,7.180069874302796,2.19722457733622,0.01718584618990576,0.02941556868040703,0.054546916183365865,,,
4,BGP25,Bahrain,RACEPODIUM,VER,7,6,0,0.2473,0.7527,953.0,20,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,,7.0,8.0,7.0,5.3,2.0,0.2521739130434782,0.5826086956521739,0.3478260869565217,5.197114584074513,4.0,115,0,1,0,0,1,0,5.412,15,0.125,-0.1222999999999999,6,0,1,0,,0.0,1.0,0,0,1,0.2473,0.1222999999999999,6.860663671448287,3.044522437723423,,,,,,
4,BGP25,Bahrain,RACEPODIUM,ANT,4,11,0,0.1808,0.8192,301.0,8,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,20.0,5.0,5.0,4.0,7.333333333333333,10.0,0.3333333333333333,0.3333333333333333,0.0,4.642796092394707,7.333333333333333,3,0,1,0,0,1,0,5.412,15,0.3704,0.1896,3,0,1,0,16.0,1.0,1.0,0,0,1,0.1808,-0.1896,5.71042701737487,2.19722457733622,,,,0.0730964958113847,0.09450580626098828,0.17165378543006823
4,BGP25,Bahrain,RACEPODIUM,GAS,5,7,0,0.0673,0.9327,287.0,7,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,2.0,17.0,6.0,5.0,12.3,13.6,0.0260869565217391,0.0695652173913043,0.0,4.001249804748512,13.0,115,0,1,0,0,1,0,5.412,15,0.2037,0.1364,4,0,1,0,-3.0,12.0,1.0,0,0,1,0.0673,-0.1364,5.662960480135946,2.079441541679836,,,,0.0654778363732764,0.022733232244937396,0.08230851260211872
4,BGP25,Bahrain,RACEPODIUM,RUS,2,2,1,0.6101,0.3899,1019.0,14,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,,3.0,4.0,2.0,7.4,6.4,0.0608695652173913,0.1217391304347826,0.008695652173913,3.352610922848042,6.6,115,0,1,0,0,1,0,5.412,15,0.5455,-0.0645999999999999,1,1,0,0,,1.0,2.0,0,0,1,0.6101,0.0645999999999999,6.927557906278317,2.70805020110221,,,,,,
4,BGP25,Bahrain,RACEPODIUM,PIA,1,1,1,0.8889,0.1111,63.0,6,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,10.0,1.0,1.0,1.0,5.6,3.8,0.0909090909090909,0.1515151515151515,0.0303030303030303,3.261901286060018,5.0,33,0,1,0,0,1,0,5.412,15,0.6481,-0.2408,0,1,0,0,9.0,0.0,0.0,0,0,1,0.8889,0.2408,4.158883083359672,1.9459101490553128,,,,0.3693120241529479,0.3098489096710371,0.40771427340342953
4,BGP25,Bahrain,RACEPODIUM,HAM,9,5,0,0.0644,0.9356,182.0,5,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,3.0,8.0,10.0,9.0,7.1,8.8,0.2280701754385964,0.5263157894736842,0.2105263157894736,5.3,5.2,114,0,1,0,0,1,0,5.412,15,0.0636,-0.0007999999999999,8,0,1,0,-6.0,-1.0,1.0,0,0,1,0.0644,0.0007999999999999,5.209486152841421,1.791759469228055,,,,0.2558442763951373,0.14886906502020972,0.22978440552472765
4,BGP25,Bahrain,RACEPODIUM,NOR,6,3,1,0.5893,0.4107,901.0,9,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,1.0,2.0,2.0,6.0,4.9,3.6,0.0608695652173913,0.1565217391304348,0.0347826086956521,2.947880594596735,4.8,115,0,1,0,0,1,0,5.412,15,0.2358,-0.3535,5,0,1,0,-5.0,-4.0,-4.0,0,0,1,0.5893,0.3535,6.804614520062624,2.302585092994046,,,,0.4929651555072948,0.5675445520702722,0.41913086910815767
4,BGP25,Bahrain,RACEPODIUM,LEC,3,4,0,0.4137,0.5863,575.0,20,2025-04-12T16:20:00+00:00,2025-04-13T15:00:00+00:00,,4.0,3.0,3.0,7.0,4.4,0.0782608695652174,0.2260869565217391,0.1913043478260869,4.049691346263317,9.4,115,0,1,0,0,1,0,5.412,15,0.4057,-0.008,2,1,0,0,,1.0,0.0,0,0,1,0.4137,0.008,6.356107660695892,3.044522437723423,,,,,,
5,SAGP25,Saudi Arabia,RACE,BOR,20,18,0,0.01,0.99,408.0,3,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00,20.0,,19.0,20.0,12.25,17.25,0.0,0.0,0.0,5.539629951540085,12.25,4,1,0,1,0,0,0,6.174,27,0.0109,0.0008999999999999,19,0,0,1,0.0,,-1.0,1,1,0,0.01,-0.0008999999999999,6.013715156042802,1.3862943611198906,,,,,,
